,address,categoryName,phone,postalCode,reviewsCount,state,title,website
168,"Govandi Slums, Rafiq Nagar, Shivaji Nagar, Mumbai, Maharashtra 400043, India",Baby store,+91 97027 01392,400043.0,0,Maharashtra,MUDSAR SHAIKH,
166,"Singh Compound, Shop No.8, Navpada Rd, near Nandu Wafer, opp. Ajit Glass Road, Behram Baug, Jogeshwari West, Mumbai, Maharashtra 400102, India",Baby store,+91 90825 32545,400102.0,0,Maharashtra,Md Wakil,
164,"Shop No15 Room No H Line Govandi Shivaji Nagar Road No 2 Plot No26, Shivaji Nagar, Mumbai, Maharashtra 400043, India",Baby store,+91 77386 37384,400043.0,0,Maharashtra,Shamshad Store,
163,"No 1, Renuka Mata Mandir, Shop No 122, Bhagat Singh II, Goregaon West, Mumbai, Maharashtra 400104, India",Baby store,+91 81080 67804,400104.0,0,Maharashtra,DG Imitation Shop,
161,"Shop No 4, Bmc Market, Near, Staion, SV Patel Nagar, Andheri West, Mumbai, Maharashtra 400053, India",Baby store,,,0,,Royal daipers,
176,"Roshan PAN Card Ration Shop, Ambedkar Marg, Vidyavihar, Mumbai, Maharashtra 400077, India",Baby store,,,0,,Roshan PAN Card Ration Shop,
104,"Kusum Bharti, No. 201 Gorai Jeevandhara CHS Limited, Dattapada Rd, opposite Tata Steel, Borivali East, Mumbai, Maharashtra 400066, India",Baby store,+91 93242 40347,400066.0,17,Maharashtra,ITSYYBOO,
103,"3V6X+6P4, 20a, Rd No. 1, near B.M.C Office, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India",Baby store,,400071.0,11,Maharashtra,Little Angels,
102,"Shop 9 Tavas Shopping Centre, opposite Railway Station, Kandivali West, Mumbai, Maharashtra 400067, India",Baby store,+91 90824 92728,400067.0,36,Maharashtra,Kandivali Diaper Point,
35,"115, Lake Rd, Bhandup, Sonapur, Bhandup West, W, Mumbai, Maharashtra 400078, India",Baby store,+91 22 2594 8641,400078.0,0,Maharashtra,Florite Baby Products,http://floritebaby.com/
32,"MY DIVINE Co-Operative Housing Society Limited CTS No.132/2, Shop No- GF- 01 & 02, Aziz Baug, Mahul, Marouli Village Rd, Chembur, Mumbai, Maharashtra 400074, India",Baby store,+91 86000 26447,400074.0,1540,Maharashtra,FirstCry.com Store Mumbai Chembur East,https://www.firstcry.com/
31,"Shop No 26, G Sector 1, 2 Line, Line Road, Cheeta Camp, Trombay, Mumbai, Maharashtra 400088, India",Baby store,+91 96199 25775,400088.0,1,Maharashtra,A-1 Diapers,
30,"Gokul Gagan Apartment, Factory Lane Road, opposite Ambaji Dham Temple, Mini Zaveri Bazaar, Shimpoli, Borivali, Mumbai, Maharashtra 400092, India",Baby store,+91 96070 09506,400092.0,1823,Maharashtra,Babyhug Store Mumbai Borivali,
28,"Akshar Gully, B 701, Akshar Apt 2, Bldg, Hemukalani Cross Rd Number 3, behind Sai Raj Garden Apartment, Kandivali West, Mumbai, Maharashtra 400067, India",Baby store,+91 96196 80357,400067.0,92,Maharashtra,Strollers on Rent,https://strollers-on-rent.grexa.site/
26,"Maratha Colony Rd, Maratha Colony, Dahisar East, Mumbai, Maharashtra 400068, India",Baby store,+91 81696 21613,400068.0,49,Maharashtra,Dahisar Diaper House,
25,"Shop No.1, 2 & 3, Kamdar Shopping Arcade, Tilak Road, next to Food Spot, Ghatkopar East, Mumbai, Maharashtra 400077, India",Baby store,+91 90292 02030,400077.0,492,Maharashtra,Innocence Infants & Kids,https://www.facebook.com/innocence.shilp
23,"Shop no. 7, Matru Ashish CHSL, Chhatrapati Shivaji Rd, Krishna Colony, Dahisar East, Mumbai, Maharashtra 400068, India",Baby store,+91 96070 09022,400068.0,0,Maharashtra,Firstcry.com Factory Outlet Mumbai Dahisar,https://www.firstcry.com/?utm_source=gmb_optimization&utm_medium=organic&utm_campaign=gmb
22,"Sai Aastha CHS, No. 9 & 10, SV Rd, opp. Vasundhara, Mulji Nagar, Borivali West, Mumbai, Maharashtra 400092, India",Baby store,+91 74004 39190,400092.0,526,Maharashtra,Me n Moms Baby Care and Kids Store in Borivali West,https://www.menmoms.in/
20,"Shop No.1, Siddhachal Arcade, New Link Rd, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 96070 08406,400064.0,649,Maharashtra,Babyhug Store Mumbai Malad,http://www.firstcry.com/
19,"Shop Number 93, Galleria Shopping Mall, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076, India",Baby store,+91 98200 61502,400076.0,0,Maharashtra,Little Baby,https://www.instagram.com/littlebabypowai
38,"PL Lokhande Marg, near hanuman mandir, Nagwadi, Rahul Nagar, Chembur, Mumbai, Maharashtra 400089, India",Baby store,+91 93236 04971,400089.0,29,Maharashtra,"Milee fashion:- Baby Carry Nest|Baby Mattress Set|Baby Pillow Supplier, Manufacturer in Mumbai, Maharashtra",
17,"1st Floor, PHOENIX MARKETCITY, No F 64, Lal Bahadur Shastri Marg, Patelwadi.Kurla, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",Baby store,+91 80 4495 3389,400070.0,0,Maharashtra,"Me N Moms Phoenix Marketcity, Kurla, Mumbai",https://www.menmoms.in/
15,"Shop no7, Dosti Heritage D'Souza Nagar, 90 Feet Rd, kurla(W, Saki Naka, Mumbai, Maharashtra 400072, India",Baby store,+91 98200 77736,400072.0,6,Maharashtra,Baby care diaper enterprises,
11,"17 B/A-606, Ganga CHS, Sangharsh Nagar, Chandivali, Powai, Mumbai, Maharashtra 400072, India",Baby store,,,1,,Raj Enterprises,
10,"Shop no. 8, manek nagar, opp.Merwans cake shop Gulmohar Rd, Cross, Lokmanya Tilak Rd, Borivali West, Mumbai, Maharashtra 400092, India",Baby store,+91 91360 03603,400092.0,35,Maharashtra,Baby N Beauty,
9,"91, Galleria shopping, Main St, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076, India",Baby store,+91 99876 44736,400076.0,0,Maharashtra,Kaddly the little baby shop,https://www.facebook.com/kaddly/
8,"Kandivali, Laljipada, Ganesh Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",Baby store,,400067.0,15,Maharashtra,Shourya Diaper Point,
7,"Shop No. 5, Munisuvrat Apartment, Mathuradas Road, Kandivali, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067, India",Baby store,+91 91360 03602,400067.0,0,Maharashtra,New Baby N Beauty,
6,"Koyana Apartments, Sant Dnyaneshwar Rd, Shantivan, Sri Krishna Nagar, Borivali East, Mumbai, Maharashtra 400066, India",Baby store,,400066.0,0,Maharashtra,Beauty Mums & Babies,
5,"Shop No. 5, Kasturba, Cross Road No. 3, near Sai Dham Temple, Chinchpada, Borivali East, Mumbai, Maharashtra 400066, India",Baby store,+91 84519 56440,400066.0,423,Maharashtra,Asfiya Enterprises,
3,"Shop No 4, Ahimsa Marg, off New Link Road, Malad, Chincholi Bunder, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 70459 22618,400064.0,48,Maharashtra,Sunera,
2,"Shop No 2, Bindiya Society, Ramdas Nayak Marg, Hill Rd, Bandra West, Mumbai, Maharashtra 400050, India",Baby store,+91 91671 66166,400050.0,45,Maharashtra,Baby Touch,
1,"metro station On, New Link Rd, Kandivali, Pragati Society, At, Kandivali West, Mumbai, Maharashtra 400067, India",Baby store,+91 93244 26042,400067.0,651,Maharashtra,Firstcry.com Store Mumbai Kandivali,http://www.firstcry.com/
16,"Gr Floor, C&B Square, Sangam Complex, 127, Andheri - Kurla Rd, Dr. Charatsingh Colony, S B Singh Colony, J B Nagar, Andheri (E, Mumbai, Maharashtra 400059, India",Baby store,+91 99875 49314,400059.0,23,Maharashtra,Tots & Bubbles,https://totsandbubbles.com/
40,"Akurli Rd, Kandivali, Akurli Industry Estate, Kandivali East, Mumbai, Maharashtra 400101, India",Baby store,,400101.0,0,Maharashtra,BABY EQUIPMENT STORE,
41,"211, LOTUS BUSINESS PARK, Ram Baug Road, SV Rd, near Chincholi Naka, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 87796 57853,400064.0,37,Maharashtra,Kiddicare - Premium Baby Wipes in india,https://www.kiddicare.co.in/
42,"4Vcr+C8G Budhaya Jadhav Wadi, Saki Vihar Rd, Saki Vihar, Tunga Village, Marol, Powai, Mumbai, Maharashtra 400072, India",Baby store,+91 97689 01071,400072.0,5,Maharashtra,Zeeshan Super Diaperss,
98,"Shop No. 4, Royal House, Mathuradas Road, below Kapol Bank, Kandivali, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067, India",Baby store,+91 98706 26343,400067.0,0,Maharashtra,Born Baby,
90,"B-105, Farid Estate Rd, Kandivali, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India",Baby store,+91 74002 29966,400101.0,29,Maharashtra,Dumbledo,https://www.dumbledo.com/
86,"Sapphire Heights, Akurli Rd, Kandivali, Green Hills, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101, India",Baby store,+91 89289 11801,400101.0,41,Maharashtra,KinderCanteen,
83,"Upper Ground Floor - 13, Sainath Plaza, Mulund Railway Station, Patil's, Pandit Jawaharlal Nehru Rd, nr. Mulund West, Mulund West, Mumbai, Maharashtra 400080, India",Baby store,+91 91372 73838,400080.0,79,Maharashtra,"Titapu, Baby & Kids Clothing Discount Store",
82,"Cooperative Housing Society, Housing Society LTD, Shop No 19, D - Wing, Shyam Kamal Road, opposite Sahakari Bhandar, Agarwal Market, Vile Parle East, Mumbai, Maharashtra 400057, India",Baby store,+91 93722 52224,400057.0,25,Maharashtra,Baby Safari,https://www.instagram.com/baby_safari__
79,"A, Agrawal Market, Shop no 3 Shyam Kamal, Tejpal Rd, opp. Dinanath Hall, Vile Parle East, Mumbai, Maharashtra 400057, India",Baby store,+91 91369 29928,400057.0,28,Maharashtra,BABIRO vile parle Mumbai,http://www.babiro.in/
77,"Shop No .18, Linkway Estate, New Link Rd, behind Hotel Green 's, next to Shakti Motors, Malad, Ram Nagar, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 83558 06874,400064.0,83,Maharashtra,"Pink Bunny Baby Store, Malad",
76,"shop no.2, pioneer heritage resi-2, Sane Guruji Rd, next to sane guruji school, Khira Nagar, Santacruz (West), Mumbai, Maharashtra 400054, India",Baby store,+91 99308 64735,400054.0,41,Maharashtra,SUPER KIDS,
